id,title,score,numericValue,numericUnit,website
first-contentful-paint,First Contentful Paint,1.0,260.0,millisecond,http://dosaafborisovka.ru
interactive,Time to Interactive,0.99,1519.0,millisecond,http://verdikt-spb.ru
largest-contentful-paint,Largest Contentful Paint,0.57,2170.0,millisecond,http://verdikt-spb.ru
first-contentful-paint,First Contentful Paint,0.56,1504.5,millisecond,http://verdikt-spb.ru
interactive,Time to Interactive,0.91,2395.5,millisecond,http://oneginconference.ru
largest-contentful-paint,Largest Contentful Paint,0.8,1519.0,millisecond,http://oneginconference.ru
first-contentful-paint,First Contentful Paint,0.88,970.0,millisecond,http://oneginconference.ru
interactive,Time to Interactive,0.9,2446.5,millisecond,http://nenaprasno.ru
largest-contentful-paint,Largest Contentful Paint,0.85,1380.0,millisecond,http://nenaprasno.ru
first-contentful-paint,First Contentful Paint,0.98,700.0,millisecond,http://nenaprasno.ru
interactive,Time to Interactive,0.68,3603.5,millisecond,http://ibt45.ru
largest-contentful-paint,Largest Contentful Paint,0.7,1800.0,millisecond,http://ibt45.ru
first-contentful-paint,First Contentful Paint,0.47,1660.0,millisecond,http://ibt45.ru
interactive,Time to Interactive,1.0,327.0,millisecond,http://bfsma.ru
largest-contentful-paint,Largest Contentful Paint,1.0,485.0,millisecond,http://bfsma.ru
first-contentful-paint,First Contentful Paint,1.0,327.0,millisecond,http://bfsma.ru
interactive,Time to Interactive,1.0,957.0,millisecond,http://межнацакселератор.рф
largest-contentful-paint,Largest Contentful Paint,0.95,1005.0,millisecond,http://межнацакселератор.рф
first-contentful-paint,First Contentful Paint,1.0,201.0,millisecond,http://межнацакселератор.рф
interactive,Time to Interactive,0.44,4843.5,millisecond,http://dosaaf02.ru
largest-contentful-paint,Largest Contentful Paint,0.06,5483.0,millisecond,http://dosaaf02.ru
first-contentful-paint,First Contentful Paint,0.97,704.0,millisecond,http://dosaaf02.ru
interactive,Time to Interactive,0.88,2601.0,millisecond,http://zlatmasters.ru
largest-contentful-paint,Largest Contentful Paint,0.61,2075.0,millisecond,http://zlatmasters.ru
